midpoint,sim_0_n_sig,sim_10_n_sig,sim_11_n_sig,sim_12_n_sig,sim_13_n_sig,sim_14_n_sig,sim_15_n_sig,sim_16_n_sig,sim_17_n_sig,sim_18_n_sig,sim_19_n_sig,sim_1_n_sig,sim_20_n_sig,sim_21_n_sig,sim_22_n_sig,sim_23_n_sig,sim_24_n_sig,sim_25_n_sig,sim_26_n_sig,sim_27_n_sig,sim_28_n_sig,sim_29_n_sig,sim_2_n_sig,sim_30_n_sig,sim_31_n_sig,sim_32_n_sig,sim_33_n_sig,sim_34_n_sig,sim_35_n_sig,sim_36_n_sig,sim_37_n_sig,sim_38_n_sig,sim_39_n_sig,sim_3_n_sig,sim_40_n_sig,sim_41_n_sig,sim_42_n_sig,sim_43_n_sig,sim_44_n_sig,sim_45_n_sig,sim_46_n_sig,sim_47_n_sig,sim_48_n_sig,sim_49_n_sig,sim_4_n_sig,sim_50_n_sig,sim_51_n_sig,sim_52_n_sig,sim_53_n_sig,sim_54_n_sig,sim_55_n_sig,sim_56_n_sig,sim_57_n_sig,sim_58_n_sig,sim_59_n_sig,sim_5_n_sig,sim_60_n_sig,sim_61_n_sig,sim_62_n_sig,sim_63_n_sig,sim_64_n_sig,sim_65_n_sig,sim_66_n_sig,sim_67_n_sig,sim_68_n_sig,sim_69_n_sig,sim_6_n_sig,sim_70_n_sig,sim_71_n_sig,sim_72_n_sig,sim_73_n_sig,sim_74_n_sig,sim_75_n_sig,sim_76_n_sig,sim_77_n_sig,sim_78_n_sig,sim_79_n_sig,sim_7_n_sig,sim_80_n_sig,sim_81_n_sig,sim_82_n_sig,sim_83_n_sig,sim_84_n_sig,sim_85_n_sig,sim_86_n_sig,sim_87_n_sig,sim_88_n_sig,sim_89_n_sig,sim_8_n_sig,sim_90_n_sig,sim_91_n_sig,sim_92_n_sig,sim_93_n_sig,sim_94_n_sig,sim_95_n_sig,sim_96_n_sig,sim_97_n_sig,sim_98_n_sig,sim_99_n_sig,sim_9_n_sig,mean_n_sig,sd_n_sig,normal_window_prob,expected_n_young,expected_n_old,expected_n_total,expected_n_eff,expected_young_mean_age,expected_old_mean_age,expected_abs_age_diff
25,1778,25,1744,0,1695,1688,1757,1850,1777,1817,1776,1824,1816,1741,1698,1660,12,0,1703,1780,1823,0,1722,1754,1773,1835,76,1780,0,1713,1783,1768,1715,1772,1778,0,1765,1802,1760,1822,1700,1769,13,1785,1781,1751,1761,1722,1723,1800,1779,1787,1693,1750,1661,1764,1754,1784,1730,0,0,1715,2,2,1717,1763,1739,1769,10,1740,1822,1736,1813,1770,1746,1783,1791,1773,1758,1780,1708,1764,1795,1754,1790,1747,1680,2,1812,1769,72,1809,0,1758,1747,1751,1760,0,1771,1773,1445.8,676.2249491243148,0.01606199895225644,0.17723303880159152,15.88476591345485,16.06199895225644,0.3505547898318146,23.28379803595018,32.60080356889053,9.317005532940346
26,1824,52,1801,1,1798,1755,1800,1874,1811,1856,1831,1864,1823,1830,1725,1746,21,0,1800,1825,1837,8,1745,0,1806,1835,239,4,30,1806,1833,1775,1780,1818,1832,1,1828,1819,1794,1837,1774,1838,29,0,1797,1807,1824,1814,1776,1823,1836,1832,1819,1772,1752,2,1793,0,1782,0,105,1801,6,1,1809,1806,1817,1821,36,1815,1843,1806,1851,1834,1798,1794,1841,1836,1811,1816,1794,1803,1826,0,1829,1820,1782,18,1,1817,148,1824,5,1807,1813,1778,1780,182,1801,1812,1366.21,773.1311817158936,0.022749536489804427,0.3027879644432617,22.446748525361166,22.749536489804427,0.5975159359760936,24.230150900511887,33.511512943232006,9.281362042720119
27,1858,132,1863,19,1855,1830,1855,1882,1827,0,1861,1895,1872,1878,1789,1816,36,354,1830,1850,1849,21,0,4,1841,1859,305,5,39,1847,1848,1,2,1845,0,6,1857,1860,1835,1852,1829,2,62,2,1837,1831,1836,1880,1840,1865,1867,1850,1855,1837,1802,111,1838,0,1806,3,210,1848,39,9,1859,1861,1848,4,68,1846,1865,1842,1868,1860,0,1830,1875,1861,1837,1866,1825,1843,0,38,1860,1875,1838,53,96,1853,270,3,79,1821,1839,1863,1843,249,1835,1861,1223.71,857.6874391836068,0.03164420331610131,0.5074078745929995,31.13679544150831,31.644203316101308,0.9985434007481427,25.173692784118703,34.41777613762797,9.244083353509264
28,55,154,1894,55,1877,1885,1871,0,1870,105,3,1899,1897,4,1838,1876,111,444,1869,1883,4,62,2,18,0,16,510,14,79,1870,1866,8,3,1882,83,158,0,1868,1861,1883,1863,19,59,325,1,1858,1869,1906,0,66,1897,1881,1888,1,1838,184,1855,106,1842,184,272,1872,88,30,1900,1900,34,6,167,1863,1874,1868,0,2,5,1859,1893,1871,1855,1878,12,1862,0,158,1892,1892,1878,110,119,1866,353,7,159,3,1871,1887,1883,322,1862,1895,946.87,900.5903075878688,0.04323571069476962,0.8341153090129788,42.40159538575664,43.23571069476962,1.6360466507660423,26.114262473718146,35.3194713693195,9.205208895601356
29,105,207,1907,61,1893,1913,1893,0,0,123,95,0,1906,125,1895,1899,154,688,1890,1901,7,89,1,26,0,214,607,28,139,1896,1,130,2,1889,277,221,63,1892,1883,0,1897,30,155,481,30,1875,1884,1918,63,124,0,0,1900,1,1864,330,1,301,0,307,441,15,132,172,0,1919,462,16,213,1,129,1906,22,3,7,1,1911,1893,23,1895,16,1895,115,237,1,1907,0,161,345,1890,405,8,230,17,66,1910,0,480,1883,0,639.08,819.1323036659531,0.05803682390413139,1.3451550664339587,56.69166883769743,58.03682390413139,2.6279551647276245,27.051693942255092,36.21649836423181,9.164804421976719
30,133,356,1919,409,3,13,7,30,0,207,137,49,13,507,1914,3,236,832,1895,1913,7,409,38,34,17,316,680,44,290,1904,18,323,103,21,408,468,221,0,1896,299,1908,155,221,519,276,41,1909,3,401,198,75,0,1916,94,1886,407,104,508,88,466,648,24,173,449,0,1926,577,23,294,3,224,12,176,9,160,12,1924,0,257,0,33,390,160,458,1,1913,0,344,550,0,566,286,274,70,112,1920,25,545,3,0,437.88,626.7879199263946,0.07655461786126026,2.128259331511795,74.42635852974847,76.55461786126027,4.13818516705145,27.985817392843902,37.10878293834607,9.122965545502165
31,593,520,1940,476,6,112,192,548,48,545,230,510,153,665,1935,127,299,1052,187,15,246,529,216,209,200,553,911,308,388,1,482,535,581,562,678,565,504,0,0,706,1,214,267,628,665,198,1926,234,644,397,118,142,1937,364,30,550,141,649,352,553,751,40,302,518,91,1937,791,360,365,101,519,15,683,392,464,396,7,49,473,6,60,555,466,684,3,1920,103,599,878,0,730,596,339,108,394,16,31,666,4,198,449.47,453.44979464393435,0.09925424656221396,3.303792457096306,95.95045410511766,99.25424656221396,6.387643803809497,28.91646059067834,37.996281741154874,9.079821150476533
32,758,625,1948,616,116,318,558,972,495,793,432,781,534,741,7,354,583,1165,317,311,663,660,534,573,510,749,1011,500,588,52,682,684,641,812,906,743,835,293,0,842,37,693,669,832,863,379,0,549,741,571,239,429,5,625,524,655,315,756,574,660,874,152,520,787,143,1,934,694,597,456,788,261,953,485,638,736,58,393,707,5,189,769,587,798,264,1937,497,831,1022,78,804,832,472,127,679,326,41,722,133,484,565.92,343.1355028750789,0.12651728323172462,5.032324032862205,121.48495919886241,126.51728323172462,9.664318805960912,29.843450516941836,38.87898703055637,9.035536513614531
33,957,686,67,857,459,693,892,1080,833,948,681,916,895,932,237,523,658,1242,663,611,808,859,775,810,861,996,995,858,710,376,880,861,785,983,1021,976,959,806,154,1120,354,906,677,993,1082,784,0,636,1004,783,603,670,20,836,740,791,576,832,964,890,979,201,805,920,653,549,1062,873,603,734,1078,618,1079,718,966,987,112,882,805,400,679,893,825,907,779,106,670,975,1148,387,985,1068,584,569,840,612,554,889,592,797,754.47,261.94626848985183,0.1585978938709338,7.521859378196448,151.07603449273734,158.59789387093377,14.330236791097631,30.766615376597905,39.756931318727034,8.99031594212913
34,1081,977,694,968,791,792,1086,1250,978,1115,872,1097,1065,1044,770,681,997,1294,749,854,1126,1105,1020,955,1009,1181,1018,1094,851,727,1158,1030,951,1147,1134,1097,1037,1041,659,1222,654,1062,932,1122,1205,967,287,827,1139,1036,866,945,79,1065,876,1036,772,1093,1078,1074,1145,409,831,1092,925,836,1150,1035,816,897,1223,781,1176,936,1062,1165,740,996,1021,651,896,1062,1028,1001,994,374,816,1111,1271,715,996,1176,695,895,985,795,752,784,991,898,949.54,207.49211595098782,0.19558107992399523,11.03360024983564,184.54747967415958,195.58107992399522,20.82229138555367,31.685786987263246,40.63019170139607,8.944404714132826
